Question,Answer
상급 스프링쿨러는 어디서 구매할 수 있을까요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
스프링쿨러가 왜 설치가 안되나요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
커작 화분은 64개 밖에 못 쓰나요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
농작물 제한 걸려서 안 심어지는데 어떻게 하나요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
커스텀 농작물에 제한이 있나요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
마을에 돈 어떻게 넣나요?,/마을 예금 금액 를 통해 마을 금고에 돈을 추가 할 수 있습니다.
마을 유지비 어디에 내나요?,/마을 예금 금액 를 통해 마을 금고에 돈을 추가 할 수 있습니다.
길라잡이 16단계 돈이 없으면 못하나요?,/마을 예금 금액 를 통해 마을 금고에 돈을 추가 할 수 있습니다.
마을 세금내는거 어떻게 하나요?,/마을 예금 금액 를 통해 마을 금고에 돈을 추가 할 수 있습니다.
커농 다 자란 모습도 위키에 적혀있나요?,/위키 > 메인컨텐츠 > 생활활동 > 커스텀농작물 부분 내용을 참고하시면 됩니다.
용과 씨앗은 어떻게 심나요 모르겠어요,/위키 > 메인컨텐츠 > 생활활동 > 커스텀농작물 부분 내용을 참고하시면 됩니다.
고급과성장 쓰면 몇퍼인가요?,/위키 > 메인컨텐츠 > 생활활동 > 커스텀농작물 부분 내용을 참고하시면 됩니다.
스프링쿨러 어떻게 쓰나요?,/위키 > 메인컨텐츠 > 생활활동 > 커스텀농작물 부분 내용을 참고하시면 됩니다.
꿀은 어디에 쓰이길래 많이들 구하는걸까용?,"[/상점 > 꿀 상점, 하버의 농작물 상점], [/e > 마법 상점], [/스폰 > 우측버스정류장 > 가구 상점, 악기 상점] 등에서 각종 아이템을 구매하는데 사용합니다."
꿀은 어떻게 얻나요?,"일일랭킹, 길라잡이, 레이드, 과성장 농작물 등을 통해서 얻을 수 있습니다."
꿀은 어디서 얻나요?,"일일랭킹, 길라잡이, 레이드, 과성장 농작물 등을 통해서 얻을 수 있습니다."
현재 서버에서 꿀을 얻을 수단이 상자깡 밖에 없는게 맞나요?,"일일랭킹, 길라잡이, 레이드, 과성장 농작물 등을 통해서 얻을 수 있습니다."
꿀 어따 쓰죠?,"[/상점 > 꿀 상점, 하버의 농작물 상점], [/e > 마법 상점], [/스폰 > 우측버스정류장 > 가구 상점, 악기 상점] 등에서 각종 아이템을 구매하는데 사용합니다."
꿀은 어디에 사용할 수 있나요?,"[/상점 > 꿀 상점, 하버의 농작물 상점], [/e > 마법 상점], [/스폰 > 우측버스정류장 > 가구 상점, 악기 상점] 등에서 각종 아이템을 구매하는데 사용합니다."
꿀이 뭔가요?,서버 내 존재하는 재화의 종류 중 하나 입니다.
로얄젤리가 뭔가요?,서버 내 존재하는 재화의 종류 중 하나 입니다.
코인이 뭔가요?,서버 내 존재하는 재화의 종류 중 하나 입니다.
베어코인이 뭔가요?,서버 내 존재하는 재화의 종류 중 하나 입니다.
꿀은 어디에 사용하나요?,"[/상점 > 꿀 상점, 하버의 농작물 상점], [/e > 마법 상점], [/스폰 > 우측버스정류장 > 가구 상점, 악기 상점] 등에서 각종 아이템을 구매하는데 사용합니다."
발굴 레벨 어떻게올리나요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
농사 스킬 어떻게 올려요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
사탕수수로 농사 레벨이 올라요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
제가 만든 마을로 워프하려면 어떻게 해야하나요?,본인의 마을이 있는 월드에서 /마을 스폰 를 통해 마을로 이동할 수 있습니다.
자기 집으로는 다시 어떻게 오나요?,본인의 마을이 있는 월드에서 /마을 스폰 를 통해 마을로 이동할 수 있습니다.
님들 가방 어떻게 써요?,길라잡이 40단계 이후로 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
가방 명령어 길라잡이 몇랩때 열리나요?,길라잡이 40단계 이후로 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
가방은 어떻게 사용하죠,길라잡이 40단계 이후로 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
/가방 명령어는 언제 사용 가능한가요?,길라잡이 40단계 이후로 가방1줄(9칸)씩 사용이 가능하고 60단계 까지 클리어할 경우 3줄(27칸) 사용 가능합니다.
스프링쿨러 업그레이드는 어떻게 하나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
꿀은 어디서 얻어요?,"일일랭킹, 길라잡이, 레이드, 과성장 농작물 등을 통해서 얻을 수 있습니다."
발굴은 흙 파야돼요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
제 마을은 어떻게 가나요?,본인의 마을이 있는 월드에서 /마을 스폰 를 통해 마을로 이동할 수 있습니다.
집 어떻게 짓나요?,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
땅에 권한이 없대요,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
마을 어떻게 만드나요?,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
상자 못놔요?,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
농사 어디서 지어요?,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
마을 땅이 안캐져요,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
황무지인데 안캐져요,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
마을은 어디다가 생성해요?,마을월드에서 /마을 생성 마을이름 를 입력하면 됩니다.
허수아비 기능이 뭔가요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
허수아비 어디에 쓰나요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
허수아비가 뭔가요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
허수아비는 어디다가 설치해요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
허수아비 얼만큼 돼요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
허수아비 범위가 어느정도에요?,허수아비가 설치된 청크의 커스텀 농작물들은 씨앗을 훔쳐가는 까마귀로부터 보호가 가능합니다.
길라잡이 16단계 어떻게 해야하나요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
길라잡이 16단계 어떻게 깨나요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
길라잡이 16단계 마을 확장을 해야 하나요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
마을 어떻게 확장 하나요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
마을 어떻게 키워요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
땅 어떻게 사요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
수직굴 파도 되나요?,"서버 규칙에서 수직굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다.                                "
서버에서 수직굴 가능한가요?,"서버 규칙에서 수직굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다.                                "
수직굴 해도 돼요?,"서버 규칙에서 수직굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다.                                "
일자굴 파도 돼요?,"서버 규칙에서 수직굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다.                                "
일자굴 해도 돼요?,"서버 규칙에서 수직굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다.                                "
마을월드에 마을을 지을 공간이 안 보여요,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
마을 어디다 짓나요?,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
마을 월드 땅 속에 갇혔어요,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
마을 월드 평지를 어디서 찾나요?,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
야생 왔는데 나무가 안보여요,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
악기는 어떻게 해요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
악기 어디서 사요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
피아노 어떻게 쳐요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
연주 어떻게 해요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
악기는 어디서 사나요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
플롯은 어떻게 연주하나요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
기타는 어떻게 연주하나요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
차임은 어떻게 연주하나요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
악기 연주는 어떻게 해요?,"/스폰 > 우측버스정류장 > 악기 상점에서 구매가 가능하며, vip유저들만 악기 연주가 가능합니다."
낚시는 어디서해요?,어디서나 물이 있는 곳에서 미끼를 장착한 상태로 낚시를 하면 커스텀 물고기를 낚을 수 있습니다.
마을에서 낚시해도 되나요?,어디서나 물이 있는 곳에서 미끼를 장착한 상태로 낚시를 하면 커스텀 물고기를 낚을 수 있습니다.
야생에서 낚시해도 되나요?,어디서나 물이 있는 곳에서 미끼를 장착한 상태로 낚시를 하면 커스텀 물고기를 낚을 수 있습니다.
야생 어떻게 가요?,/워프 > 오버월드 를 통해서 야생으로 이동할 수 있습니다.
나무 어디서 캐요?,/워프 > 오버월드 를 통해서 야생으로 이동할 수 있습니다.
동물은 어디서 잡아요?,/워프 > 오버월드 를 통해서 야생으로 이동할 수 있습니다.
물고기 손질이 왜 안되나요?,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
물고기 손질 어떻게 해요?,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
물고기 손질 안돼요,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
물고기 손질 눌러도 없대요,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
대구 올렸는데 환불됐어요,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
연어 올렸는데 환불됐어요,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
열대어는 손질이 안돼요?,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
복어는 손질 못하나요?,/어부 > 물고기 손질 은 커스텀 물고기만 가능합니다.
랜덤워프 명령어좀알려주실분 있나요?,랜덤 TP 명령어는 /wild 로 이용 가능합니다.
미끼 대리구매 해도 돼요?,미끼 상점에서 미끼 구매 시 레벨 제한이 존재하지만 미끼 사용 시 레벨 제한이 없습니다.
높은 등급 미끼 써도 되나요?,미끼 상점에서 미끼 구매 시 레벨 제한이 존재하지만 미끼 사용 시 레벨 제한이 없습니다.
어부 레벨 안되는데 높은 등급 미끼 써도 돼요?,미끼 상점에서 미끼 구매 시 레벨 제한이 존재하지만 미끼 사용 시 레벨 제한이 없습니다.
레벨 낮은데 황금새우 낄수있어요?,미끼 상점에서 미끼 구매 시 레벨 제한이 존재하지만 미끼 사용 시 레벨 제한이 없습니다.
로얄젤리 어따써요?,"/후원 에서 VIP 권한 구매, /후원상점 에서 아이템 구매, /보급상자 에서 커스텀 도구 열쇠 구매, 마을 건축자재 등에 사용됩니다."
로얄젤리 좋은거에요?,"/후원 에서 VIP 권한 구매, /후원상점 에서 아이템 구매, /보급상자 에서 커스텀 도구 열쇠 구매, 마을 건축자재 등에 사용됩니다."
사람들이 로얄젤리를 왜 사나요?,"/후원 에서 VIP 권한 구매, /후원상점 에서 아이템 구매, /보급상자 에서 커스텀 도구 열쇠 구매, 마을 건축자재 등에 사용됩니다."
"로얄젤리 구매하시는분 많던데, 주로 어디에 쓰시는건가요?","/후원 에서 VIP 권한 구매, /후원상점 에서 아이템 구매, /보급상자 에서 커스텀 도구 열쇠 구매, 마을 건축자재 등에 사용됩니다."
로얄젤리는 어떻게 얻어요?,"길라잡이, 유저거래, 경매장 등을 통해서 얻으시거나 후원을 통해서 1000원당 로얄젤리 1개를 얻을 수 있습니다."
젤리가 뭐죠?,서버 내 존재하는 재화의 종류 중 하나 입니다.
젤리 이건 뭐에요?,서버 내 존재하는 재화의 종류 중 하나 입니다.
돈을 어떻게 벌어요?,"농사, 광질, 낚시 등의 활동을 통해 돈을 벌 수 있습니다."
돈은 어떤게 잘 벌리나요?,"농사, 광질, 낚시 등의 활동을 통해 돈을 벌 수 있습니다."
돈 잘 버는법 있나요?,"농사, 광질, 낚시 등의 활동을 통해 돈을 벌 수 있습니다."
친구와 같이 상자를쓰고싶어요,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
상자 권한을 어떻게 주나요?,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
상자 권한 어떻게 푸나요?,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
제 상자를 마을원들이랑 같이쓸수없나요?,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
상자 잠금설정은 어떻게 하나요?,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
상자 권한 설정 할 수 있나요?,"/cp 를 통해 상자 잠금, 잠금공유, 잠금해제 등의 설정을 할 수 있습니다."
신화 물고기 낚이나요?,현재 신화 물고기는 준비중인 시스템이기에 낚이지 않습니다.
신화 물고기 어떻게 낚아요?,현재 신화 물고기는 준비중인 시스템이기에 낚이지 않습니다.
신화 물고기 파시는분 있나요?,현재 신화 물고기는 준비중인 시스템이기에 낚이지 않습니다.
마을서버가 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
마을1 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
마을2 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
마을3 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
야생이 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
마을서버 언제 갈 수 있나요?,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
마을이 안 가져요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
사람 언제 빠져요?,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
스폰이 꽉찼어요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
꿀이 안 팔려요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
로얄젤리가 안 팔려요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
코인이 안 팔려요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
상점에서 코인이 안 팔려요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
교환이 안 돼요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
원소가루가 안 합쳐져요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
아이템이 안 합쳐져요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
열쇠가 안 합쳐져요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
플라이권이 안 합쳐져요,손에 아이템을 들고 /업데이트 를 해보시기 바랍니다.
계절 언제 바뀌나요?,"계절은 봄, 여름, 가을, 겨울의 사게절이 있으며 각각 28일까지 존재합니다"
계절 며칠까지 있어요?,"계절은 봄, 여름, 가을, 겨울의 사게절이 있으며 각각 28일까지 존재합니다"
계절은 어디서 보나요,마을서버에서 우측 스코어보드 '달력' 을 보면 됩니다.
혹시 계절은 어떻게 알 수 있나요?,마을서버에서 우측 스코어보드 '달력' 을 보면 됩니다.
과성장 작물 확률 공개되어있나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
과성장 농작물 어떻게 키우나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
과성장 식물을 만드려면 다자란 식물을 캐면안되나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
혹시 과성장 토마토도 1~4개 사이에서 드롭되나요?,과성장 농작물은 1개씩만 드랍됩니다.
과성장 토마토는 많이 나오나요?,과성장 농작물은 1개씩만 드랍됩니다.
과성장 작물은 그냥 맨손 왼클로 캐면되나용?,맨손이나 도구로 블럭을 캐듯이 과성장 농작물을 캐시면 됩니다.
과성장 농작물 어떻게 수확하나요?,맨손이나 도구로 블럭을 캐듯이 과성장 농작물을 캐시면 됩니다.
과성장 농작물이 안 캐져요,맨손이나 도구로 블럭을 캐듯이 과성장 농작물을 캐시면 됩니다.
요리 어떻게 해요?,/스폰의  베케아 가구 상점 에서 요리가구를 구매하여 제작할수 있습니다.
요리 할 수 있나요?,/스폰의  베케아 가구 상점 에서 요리가구를 구매하여 제작할수 있습니다.
요리 어디서 사요?,/스폰의  베케아 가구 상점 에서 요리가구를 구매하여 제작할수 있습니다.
요리 가구 어디서 사요?,/스폰의  베케아 가구 상점 에서 요리가구를 구매하여 제작할수 있습니다.
낚시 어디서 해요?,"어디서나 낚시를 할 수 있으며, 미끼를 장착해서 서버만의 커스텀 물고기를 낚을 수 있습니다."
낚시터가 따로 있나요?,"어디서나 낚시를 할 수 있으며, 미끼를 장착해서 서버만의 커스텀 물고기를 낚을 수 있습니다."
마을에서 낚시해도 돼요?,"어디서나 낚시를 할 수 있으며, 미끼를 장착해서 서버만의 커스텀 물고기를 낚을 수 있습니다."
야생에서 낚시해도 돼요?,"어디서나 낚시를 할 수 있으며, 미끼를 장착해서 서버만의 커스텀 물고기를 낚을 수 있습니다."
레드스톤회로 사용해도 되나요?,"비교기,중계기,끈끈이피스톤,관측기,상자실린수레를 이용한 자동회로는 금지합니다./위키 > 규칙을 참고 부탁드립니다."
레드스톤회로 금지인가요?,"비교기,중계기,끈끈이피스톤,관측기,상자실린수레를 이용한 자동회로는 금지합니다./위키 > 규칙을 참고 부탁드립니다."
자동 공장 만들어도 되나요?,"비교기,중계기,끈끈이피스톤,관측기,상자실린수레를 이용한 자동회로는 금지합니다./위키 > 규칙을 참고 부탁드립니다."
자동 회로 공장 만들 수 있나요?,"비교기,중계기,끈끈이피스톤,관측기,상자실린수레를 이용한 자동회로는 금지합니다./위키 > 규칙을 참고 부탁드립니다."
지옥은 랜덤텔포가 안되나요?,"네, 네더월드와 엔더월드는 랜덤텔포가 불가능합니다."
서버 입장이 안돼요,현재 해당 서버의 인원이 가득 차 서버 입장이 안 되는 상황이기에 계속해서 접속시도를 하시다보면 접속할 수 있습니다.
혹시 상점에 팔 때 수수료가 있나요?,"네, 상점에 판매할 때 5%의 수수료가 발생해서 (판매 금액x0.95)코인 만큼 획득하게 됩니다."
일퀘중에 농작물 수확하기에서 커스텀은 포함이 안되나요?,"네, 커스텀 농작물은 포함이 안되고 밀, 비트, 감자, 당근, 네더와트 등의 씨앗 작물만 포함 됩니다."
여기 인첸트 테이블이 있는곳 있나요?,/스폰 > 우측 버스정류장 > 마법부여소에서 인챈트를 하시거나 마을에서 인챈트장을 만들어서 사용하면 됩니다.
물뿌리개랑 스프링쿨러는 어떻게 업글하나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
vip되는 방법이 뭔가요?,/후원 에서 로얄젤리 20개로 vip 칭호 30일 이용권을 구매할 수 있습니다.
나무는 어디서 캐죠?,"/워프 > 야생월드 를 통해 이동 후, /wild 를 통해 랜덤텔포 하면서 나무를 캐면 됩니다."
스프링 쿨러 제작은 불가능한가요?,"네, 스프링쿨러는 /상점 에서 구매하거나 유저에게 구매해야 합니다."
바닐라 농사는 청크제한이 없나요?,"네, 바닐라 농사는 따로 제한하고 있지 않습니다."
비료 중복적용이 되나요?,"아니오, 마지막에 뿌린 비료의 효과만 적용되고 이전에 뿌린 비료의 효과는 사라집니다."
야생에서 셜커상자가 설치된 위치를 까먹었어요,셜커상자를 설치 후 잠금을 하셨다면 /cp > 잠금목록 > 셜커상자 를 통해 잠금된 블럭의 위치를 찾을 수 있습니다.
vip 칭호는 어떻게 얻어요?,/후원 에서 로얄젤리 20개로 vip 칭호 30일 이용권을 구매할 수 있습니다.
겨울은 며칠까지 있나요?,"봄, 여름, 가을, 겨울 4계절이 존재하며 계절마다 28일까지 있습니다."
마을 청크를 늘리려면 마을을 다시 생성해야 하나요?,기존에 구매한 마을청크 옆의 황무지 청크에서 /claim 를 통해 마을 청크를 추가로 구매하면 됩니다.
과성장 하는 것들은 다 자란 상태에서 일정시간이 지나면 과성장하나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
행운의 미끼 효과가 뭔가요?,확률적으로 마인크래프트 '행운' 버프를 주는 효과입니다. 
은행이 어디있어요?,/상점 > 좌측상단에서 이용 가능 합니다.
먼 곳 몬스터까지 어떻게 보나요?,서버자체적으로 ntt 시야 거리가 짧게 설정돼 있어서 조절은 불가능합니다.
마을 어케가나요?,/서버이동 마을서버 를 통해 갈 수 있습니다.
마을1에 만들고 마을2에도 만들 수 있나요?,"네, 각 마을서버마다 마을 가입이 가능합니다."
상자 어떻게 잠궈요?,/잠금설정 를 입력 후 상자를 좌클릭 하면 됩니다.
잠근은 어떻게 푸나요?,/잠금해제 를 입력 후 상자를 좌클릭 하면 됩니다.
이거 시즌패스 뭔가요?,"길라잡이 50단계 이상부터 해금되는 기능으로 일퀘, 주간퀘를 클리어하여 시즌패스 점수를 얻고 시즌패스 레벨을 올려 보상을 받을 수 있습니다."
아무 물고기나 손질 할수있어요?,물고기 손질은 커스텀 물고기만 가능합니다.
낚시대회 말고는 일일랭킹 점수 얻는 방법 없을까요?,"일일랭킹 점수는 낚시대회 참가, 레이드, 보물상자 최초 발견시 획득이 가능하며 스킬 활동을 할 때(ex: 블럭 캐기, 농작물 캐기 등) 1% 확률로 일일랭킹 점수 1점을 얻을 수 있습니다."
마법은 스킬 어떻게 올려요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
농사 레벨 어캐 올리나요?,/스킬 > 해당 스킬 > 돋보기 아이콘에서 자세한 경험치 획득법 및 경험치량을 볼 수 있습니다.
농사 레벨 빨리 올리는 방법이 없나요?,농사 레벨이 낮을 때는 바다에서 해초를 캐거나 대나무를 캐는 것을 추천드립니다.
벌 포획할 수 있는 방법이 있나요?,벌이 벌통으로 들어갔을 때 섬세한 손길 도구로 벌통을 캐면 됩니다.
씨앗 어디서 구하나요?,/상점 > 잡화상점 > 농사 상점 > 씨앗 상점 에서 구매가 가능합니다.
혹시 손에 횃불 들면 안 밝아지나요?,옵티파인 설치 후 esc > 비디오설정 > 동적조명 on 으로 설정해야 합니다.
마을 확장할때쓰는 금괭이 얻는 명령어가 뭔가요?,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
스프링쿨러 업그레이드 어떻게 하나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
지옥문 만들었는데도 네더월드로 안가져요,"네더월드는 길라잡이 20단계 이상을 클리어한 유저가 야생월드에서 지옥포탈을 통해 갈 수 있습니다. 길라잡이 20단계 이상을 클리어 했는 지, 현재 서버가 야생월드가 맞는지 확인 부탁드립니다."
어부 레벨은 스킬레벨 포함 아닌가요?,"네, 어부 레벨은 스킬의 '낚시' 레벨과 별개입니다."
커스텀 작물 괭이로 캐면 행운 적용 되나요?,"아니오, 커스텀 작물은 행운, 스킬이 적용되지 않습니다."
잠수 명령어가 따로 있나요?,/서버이동 > > 로비서버 > 네더의 별 우클릭 > 잠수전투 를 하시면 베어코인으로 교환 가능한 점수를 얻으며 잠수가 가능합니다.
마을 y좌표 제한있나요?,마인크래프트 건축 한계와 같습니다.
금괭이 소환 명령어뭔가요?,마을 월드에서 /selection 를 통해 사용할 수 있습니다.
플라이 어떻게 쓰나요?,길라잡이를 15단계 이상으로 진행한 후 마을 월드에서 /fly 를 통해 사용 가능합니다. 야생에서는 사용이 불가능합니다.
원소 정수는 어디에 쓰나요?,추후 원소 업데이트 후에 사용처가 추가될 예정이니 모으고 계시는 것을 추천드립니다.
과성장은 어떻게 생기는건가요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
커농은 일퀘 수확카운트에 안속하나요?,"네, 일퀘 및 주간퀘 '작물 수확' 횟수에 커스텀 농작물과 수박, 호박, 사탕수수 등은 포함이 안되고 밀, 비트, 감자, 당근, 네더와트 등의 씨앗 작물만 포함 됩니다."
원소가루는 어따가 쓰나요?,추후 원소 업데이트 후에 사용처가 추가될 예정이니 모으고 계시는 것을 추천드립니다.
드워프는 어디서 얻을 수 있어요?,"/보급상자 > 열쇠상인에게 토르, 큐피트, 드워프 열쇠 구매 후 상자를 개봉하거나 유저한테 구매할 수 있습니다."
번개 모양은 뭔가요?,"스태미너라는 수치로 야생에서 상자를 열 때 20~50 씩 소모 되고, 가득 차 있어도 디버프는 없습니다."
마을 최대 구매 갯수는 몇개인가요?,"기본적으로 9청크까지 구매가 가능합니다. 길라잡이 45단계 이후, 대장장이 작업대 건축자재를 통해 청크를 늘릴 수 있으며 본인이 점유한 땅과 붙혀서 땅을 점유 할 수 있습니다."
과성장 농작물 하루에 몇번 팔 수 있어요?,모든 과성장 농작물은 하루에 10개의 판매제한이 존재합니다.
원소는 어디다 쓰나요?,추후 원소 업데이트 후에 사용처가 추가될 예정이니 모으고 계시는 것을 추천드립니다.
셋홈은 두개가 최대인가요?,"네, 모든 서버를 통틀어서 2개의 셋홈을 가질 수 있습니다."
